indicator	ISO Country code	population	surface area (Km2)	GINI index	happy planet index	happy planet index	human development index	human development index	sustainable economic development assessment (SEDA)	GDP growth (annual %)		GDP ($ USD billions PPP)				GDP per capita in $ (PPP)				Economic Growth		health expenditure % of GDP									health expenditure per person			infant mortality	maternal mortality per 100,000 live births		education expenditure % of GDP	education expenditure % of GDP	education expenditure % of GDP	Education as % of GDP		% of primary school aged kids out of school		unemployment (%)		% of population in extreme poverty	% of population with access to electricity	political rights score		civil liberties score		political stability & absence of violence		government effectiveness		regulatory quality		rule of law		control of corruption		judicial effectiveness score		government integrity score		overall economic freedom score		financial freedom score		government expenditure (% of GDP)	CO2e emissions per capita	share of electricity from renewables generation		% of seats held by women in national parliaments			Military Spending as % of GDP	
Bahrain	BHR	1,300,000	760	-	-	33.6	0.846	0.875	63.9	3.2	2.23	72.8	74.4	70.7	72.3	47486	47224	43821	45411	2.11	2.23	2.47	2.67	2.87	2.32	2.37	2.09	2.15		2	2,453	994.2	940.4	10.5	14		2.5	2.37	2.15	2.37	2.15	1.04	2.34	1.3	1.87		100	2	2	10	10	-0.95	-0.51	0.2	0.7	0.4	0.8	0.45	0.471	-0.14	0.17	55.1	27.4	51.8	41.6	67.7	62	80	80	33.4	20.27	1.30%	1.50%	7.5	15	15	3.56%	3.70%
Bangladesh	BGD	165,000,000	130,170	32.1	38.4	54.5	0.608	0.661	35.3	6.4	6.94	838.8	904.9	936.10	1,001.10	5322	5784	5995	6613	7.32	6.94			1.54			1.33			1.33	88	41.9	45.9	5.1	173		-		1.33		1.33			4.1	5.23		96.2	19	15	26	24	-1.25	-0.97	-0.7	-0.6	-0.8	-0.8	-0.67	-0.611	-0.83	-0.96	32.6	28.1	21.2	22.2	55.1	52.7	30	40	13.9	0.56		3.90%	20.3	20	21	1.27%	1.30%
Barbados	BRB	300,000	430	-	-	-	0.8	0.79	60.8	0.5	1.4	4.5	4.4	3.8	3.9	15989	16154	14046	14817	-1.03	1.4	6.14	5.38	4.71	4.37	5.43	3.2	3.06	6.45	6	1,234	1164.5	1143.3	9.6	27		6.2	5.43	6.45	5.43	6.45	1.61	2.65	11.4	10.41		100	38	38	58	57	0.98	1.12	0.8	0.5	0.5	0.6	0.66	0.375	1.42	1.24	54.4	88.2	53.8	68.7	57	71.3	60	60	45	4.36	1.00%	3.30%	16.7	20	20		
Belarus	BLR	10,000,000	202,900	26.5	21.7	42.9	0.808	0.808	59.9	-3.9	2.51	179.1	181.6	180	184.5	19428	20093	20238	21699	3.15	2.51	4.82	4.79	4.95	4.79	5.38	4.98	4.95		5	1,085	351	399.4	10	2		4.8	5.38	4.95	5.38	4.95	1.3	5.24	0.5	4.74	0	100	6	2	15	6	0.03	-0.74	-0.4	-0.8	-0.7	-0.9	-0.82	-1.1	-0.26	-0.24	57.3	15.5	42	43.7	58.1	53	10	20	41.7	6.12	23.80%	29.80%	34.5	35	40	1.16%	1.20%
Belgium	BEL	11,000,000	30,278	25.9	23.7	42.5	0.916	0.937	77.5	1.4	6.24	584.4	596.7	562.8	598	52535	54278	53070	58931	1.84	6.24	6.59	6.45	6.46	6.43	6.38				6	4,782	5134.4	4960.4	56.5	5		6.6	6.38		6.38	-	0.52	0.89	8.3	6.42	0.1	100	39	39	56	57	0.42	0.61	1.2	1.1	1.2	1.3	1.34	1.326	1.5	1.48	69.5	91.2	70.9	83.6	67.5	69.6	70	70	54.1	8.1	95.20%	52.00%	38	38	42	1.08%	0.90%
Belize	BLZ	400,000	22,806	-	33.8	-	0.708	0.683	48.5	1.5	9.75	2.7	2.8	2.3	2.6	7319	7455	6166	6921	2.04	9.75	6.61	6.87	7.29	7.45	7.47	7.14	7.53	8.71	8.71	524	286	293.4		36		6.5	7.47	8.71	7.47	8.71	0.66	0.15	11	8.22		97.1	36	34	50	53	0.05	0.46	-0.6	-0.5	-0.5	-0.4	-0.96	-0.778	-0.27	-0.3	53.5	70.2	34.7	38.1	57.1	56.6	50	50	33.9	1.64	2.60%	3.20%	9.4	9	13	1.25%	1.20%
Benin	BEN	11,000,000	110,622	36.5	13.4	41.4	0.515	0.525	34.5	5.2	6.6	36.3	38.8	40.3	42.9	3236	3426	3505	3789	6.7	6.6	3.16	3.17	2.9	3.54	2.93	2.97	3		3	84	31.1	29.1	52.8	397		4.3	2.93	3	2.93	3	2.79	6.72	1	1.57	4.8	41.4	33	17	49	42	0.05	-0.3	-0.6	-0.2	-0.5	-0.4	-0.62	-0.594	-0.55	-0.15	31.3	55.3	30.2	40.3	56.7	61	50	50	21.9	0.62			7.2	7	8	0.56%	0.70%
Bhutan	BTN	800,000	38,394	38.8	28.6	36.7	0.612	0.666	47.7	7.7	-10.08	8.6	9.1	8.1		11620	12366	11129		3.06	-10.08	6.04	7.59	6.99	7.23	6.85	5.68			5.68	287	102.7	116	36.1	183		5.9	6.85	5.68	6.85	5.68	8.14	3.65	2.4	4.33		100	28	29	27	32	1.13	0.97	0.6	0.8	-0.3	-0.4	0.63	0.636	1.57	1.55	51.6	60.9	50.9	73.5	61.8	59.3	30	30	30.5	1.38	100.00%	100.00%	8.5	15	17		
Bolivia	BOL	11,000,000	1,083,301	47	23.3	45	0.693	0.692	44.8	4.8	6.11	98.3	100.4	91.7	97.3	8862	9093	8283	9030	4.22	6.11	8.26	8.94	8.85	8.66	8.9				8.9	446	235.7	245.9	13.1	155		7.3	8.9		8.9	-	6.79	4.9	3.7	8.51	0.9	97.6	28	27	39	39	-0.3	-0.32	-0.4	-0.7	-0.9	-1.2	-1.21	-1.163	-0.66	-0.86	11.4	28.4	23.1	28.7	44.1	43	40	40	42.2	1.94	32.50%	35.60%	53.1	53	46	1.54%	1.40%
Bosnia and Herzegovina	BIH	3,900,000	51,187	33.8	25.3	47.8	0.768	0.78	50.2	2.8	7.1	47.8	49.2	47.6	51	14918	15711	15598	16846	3.74	7.1									-	1,102	539.9	553.8	2.2	10		-					13.28		25.8	15.22		100	21	19	34	34	-0.38	-0.38	-0.5	-1	-0.2	-0.2	-0.21	-0.279	-0.52	-0.64	43.7	37.2	28.4	33.4	61.4	63.4	60	60	44.1	6.38	36.70%	37.30%	21.4	21	26	0.89%	0.90%
Botswana	BWA	2,200,000	566,730	60.5	16.6	31.9	0.717	0.693	44.1	-0.3	11.36	36.6	37.8	34.5	38.4	16610	17097	15471	17604	3.98	11.36		7.81	7.97	7.3	6.72	6.91	8.74		8.74	970	494.2	481.5	77.5	144		-	6.72	8.74	6.72	8.74			18.4	24.72		72	28	28	44	44	1.03	0.98	0.4	0.4	0.5	0.6	0.51	0.482	0.8	0.69	54.7	70.1	56.6	61.4	69.9	64.8	70	70	34.9	3.15	0.00%	0.20%	9.5	10	11	2.86%	2.80%
Brazil	BRA	209,000,000	8,358,140	49	34.3	54.6	0.759	0.754	51.6	-3.8	4.62	3,072.50	3,110.10	2,989.40	3,127.50	15019	15358	14834	16056	1.78	4.62	5.95	6.24	6.31	6.32	6.09				6	1,392	866.2	853.4	11.4	60		5.9	6.09		6.09	-	0.52		11.5	14.4	0.7	100	31	31	47	42	-0.41	-0.49	-0.3	-0.5	-0.1	-0.1	-0.28	-0.28	-0.53	-0.48	55.5	57.2	31.4	40	51.4	53.3	50	50	40.5	2.06	75.00%	86.00%	10.7	15	15	1.19%	1.50%
Brunei	BRN	400,000	5,265	-	-	-	0.853	0.829	72.5	-0.2	-1.61	25.9	26.9	27.2	26.8	61832	64719	65607	66620	0.05	-1.61	3.35		4.43						-	2,083	763.1	671.6	23.2	10		3.4					0.77	1.68	2	7.65		100	6	7	22	21	1.19	1.17	1.1	1.5	0.7	1	0.65	0.89	0.71	1.25	57.1	51.6	45.4	61.1	64.2	64.8	50	50	37.5	16.13	0.10%	0.00%	9.1	9	9	3.26%	3.30%
Bulgaria	BGR	7,000,000	108,489	40.2	20.4	40.1	0.813	0.795	59.9	3	4.18	156	162.3	155.2	161.7	23016	24498	24564	26705	2.68	4.18				4.08						1,492	689.9	697.9	5.8	320		-					13.3		8	5.42	0.3	99.7	33	33	47	46	0.37	0.46	0.3	-0.1	0.6	0.4	-0.04	-0.044	-0.16	-0.24	42.5	61.1	38.2	45.6	68.3	71	60	60	36.3	5.61	18.80%	21.10%	23.8	24	24	1.59%	3.20%
Burkina Faso	BFA	19,000,000	273,800	39.5	17.9	41.5	0.423	0.449	33.4	4	6.91	41.8	44.2	45.1	48.2	2168	2267	2274	2462	6.6	6.91	4.05	3.67		5.63	5.49	5.7	5.52		5.52	96	40.3	42.3	24.3	548		4.6	5.49	5.52	5.49	5.52	20.66	24.5	3	4.76	8.4	19	23	23	37	30	-0.92	-1.64	-0.6	-0.7	-0.4	-0.5	-0.4	-0.438	-0.11	-0.06	47.1	36.3	31.8	41.4	60	58.3	40	40	23.3	0.25	9.90%	12.50%	11	11	6	2.89%	2.40%
Burundi	BDI	11,000,000	25,680	42.4	15.6	37.7	0.417	0.426	28.3	-4.1	1.8	8.5	8.7	8.7	8.8	780	783	771	793	1.61	1.8	6.78	6.37	4.69	4.76	5.08	5.35	5.04		5.04	64	22.4	20.6	3.4			-	5.08	5.04	5.08	5.04	6.39	10.11	1.6	1.79		11.7	4	4	14	10	-1.97	-1.36	-1.3	-1.3	-0.8	-1	-1.4	-1.294	-1.28	-1.58	21.7	7.1	26.2	12.2	50.9	39.4	30	30	26.7	0.06	87.00%	65.50%	36.4	36	38	1.92%	1.80%
Cabo Verde	CPV	500,000	4,033	-	-	-	0.654	0.662	-	1.8	6.95	3.7	3.9	3.4	3.6	7028	7475	6376	7028	4.53	6.95	4.96	5.27	5.29	5.18	5.37	4.73	7.58		7.58	310	190.5	177.9	6.7	58		5	5.37	7.58	5.37	7.58	6.45		10.5			94.2	37	38	53	54	0.9	-	0.2	-	-0.2	-	0.41	-	0.84	-	52	77.4	42.8	60.9	60	66.7	60	60	30.8	1.18	30.70%	19.00%	23.6	24	39		
Cambodia	KHM	16,000,000	176,515	37.9	25.6	48	0.582	0.593	38.5	6.9	3.03	67.6	72.4	70.1	72.2	4259	4574	4423	4683	7.47	3.03	1.91	2.6	2.8	3.2	2.16				2.16	210	92.9	113.3	39.2	160		1.9	2.16		2.16	-	9.31	10.85	0.3	15.42		86.4	10	5	20	19	0.17	-0.13	-0.7	-0.4	-0.5	-0.6	-1.06	-0.9	-1.29	-1.18	24.5	20.9	17.7	12.3	58.7	57.1	50	50	21.2	0.98	47.70%	50.10%	20.3	20	22	2.32%	2.30%
Cameroon	CMR	24,000,000	472,710	44.6	16.7	39.9	0.556	0.576	32.1	5.9	3.49	93.6	96.9	97.3	100.7	3801	3901	3867	4064	3.96	3.49	2.58	2.66	2.56	3.06	3.03	3.08	3.17		3.17	163	53.2	54	63.8	529		-	3.03	3.17	3.03	3.17			4.5	0.61		64.7	9	6	13	9	-1.08	-1.41	-0.8	-0.9	-0.8	-0.9	-1.02	-1.097	-1.18	-1.09	29.4	10.9	23.4	19.9	51.9	52.9	50	50	21.6	0.36	77.00%	64.30%	31.1	31	34	1.02%	1.10%
Canada	CAN	37,000,000	9,093,507	32.1	23.9	40.2	0.926	0.936	76.9	1.2	4.56	1,814.80	1,848.90	1,752.20	1,832.10	49993	49299	46572	52085	2.78	4.56									-	4,600	5018.7	5048.4	3.9	10		-					0.21		7.1	3.87		100	40	40	59	58	1.11	0.94	1.9	1.6	1.9	1.6	1.8	1.627	1.92	1.65	77.1	96.4	78.3	86.7	77.7	76.6	80	80	39.9	15.43	64.70%	68.80%	26.3	27	30	1.32%	1.30%
Central African Republic	CAF	4,900,000	622,984	43.6	-	25.2	0.367	0.404	16.1	4.3	0.9	4.4	4.5	4.5	4.6	955	986	989	1021	3.79	0.9	2.22	1.91	1.75	1.75	1.57	1.77	2.17		2.17	32	53.7	37.2	4.4	829		-	1.57	2.17	1.57	2.17			6.9	7.51		15.5	4	3	5	4	-1.94	-2.1	-1.8	-1.6	-1.5	-1.5	-1.73	-1.667	-1.17	-1.23	28.2	12.3	24.6	18.3	49.2	45.7	30	30	13.4	0.05	86.20%	99.40%	8.6	9	13	1.86%	1.50%
Chad	TCD	15,000,000	1,259,200	43.3	12.8	30.4	0.404	0.394	20.4	1.8	-1.2	24.4	25.2	24.8	24.5	1614	1646	1592	1591	2.37	-1.2	2.6	2.4	2.3	2.45	2.26	2.37	2.91		2.91	100	29.7	29.9	11.6	1140		-	2.26	2.91	2.26	2.91	25.72		5.8	1.88	8.4	11.1	4	1	14	14	-1.34	-1.34	-1.5	-1.4	-1.2	-1.2	-1.3	-1.325	-1.43	-1.48	24.1	13.6	23.1	13.1	49.3	49.8	40	40	17.7	0.14			12.8	15	32	2.79%	2.20%
Chile	CHL	18,000,000	743,812	50.5	31.7	45.6	0.843	0.855	62.6	2.1	11.67	468.9	472.5	444.2	496.1	25527	25323	25089	29104	3.99	11.67	4.73	4.88	5.34	5.42	5.43				5	1,903	1455.1	1375.8	5.5	13		4.7	5.43		5.43	-	1.28		6.6	9.13	0.4	100	37	38	57	56	0.38	0.06	0.9	0.6	1.3	1	1.01	0.914	1.04	0.98	63.4	91.4	61.2	71.4	75.2	74.4	70	70	25	4.82	44.70%	48.30%	15.8	23	35	1.96%	1.80%
China	CHN	1,386,000,000	9,326,410	46.5	25.7	41.9	0.752	0.768	50.8	6.9	8.11	21,229.40	22,492.60	22,996.40	24,861.30	15496	16652	17189	19338	6.75	8.11	3.73	3.82	3.79	3.67	3.54	3.54	3.57		3.57	762	501.1	535.1	57.9	29		-	3.54	3.57	3.54	3.57			4.6	4.82	0.1	100	0	-2	14	11	-0.25	-0.48	0.4	0.8	-0.2	-0.3	-0.26	0.035	-0.27	0.05	65.4	37.4	47.3	39.3	57.8	48	20	20	30.7	7.61	25.00%	29.20%	24.2	25	25	1.74%	1.90%
Colombia	COL	49,000,000	1,038,700	51.1	40.7	60.2	0.843	0.752	49.1	3.1	10.56	710.9	733.5	681.8	753.9	15044	15673	14868	16894	2.56	10.56	4.63	4.47	4.48	4.54	4.45	4.51	4.93		4.93	853	513.2	495.3	47.2	83		4.7	4.45	4.93	4.45	4.93	2.28	1.21	9.9	14.34	5.6	100	29	29	36	35	-0.79	-0.91	-0.1	0	0.3	0.2	-0.36	-0.452	-0.37	-0.34	36.4	59.1	33.4	42	68.9	65.1	70	70	29.2	1.61	69.40%	67.10%	18.7	18	19	3.40%	3.20%
Comoros	COM	800,000	2,235	55.9	23.1	42.4	0.752	0.558	-	1	2.35	2.6	2.6	2.6	2.7	3147	3188	3148	3284	3.64	2.35	2.74	2.55								121	69.4	72.3	12.2	273		4.9					18.15		20	9.45		86.7	24	16	31	26	0.03	-0.23	-1.6	-1.8	-1	-1.2	-1.05	-1.225	-0.68	-1.29	28.2	21.2	27.5	20.1	56.2	50.4	30	30	27.2	0.38	3.70%	0.40%	6.1	6	17		
Congo (Dem. Rep.)	COD	81,000,000	2,267,048	42.1	-	40.5	0.457	0.479	24.8	7.7	5.71	91.3	95.3	96.9	102.5	1112	1144	1142	1219	5.82	5.71	1.95	2.17	2.12	1.45			2.45	2.7	2.7	34	18.5	20.6	33	473		-		2.7		2.7			3.6	5.43		19.1	2	2	19	15	-2.3	-1.61	-1.6	-1.7	-1.5	-1.4	-1.69	-1.704	-1.42	-1.55	23.9	13.2	27.3	11.8	52.1	47.6	20	20	13.2	0.04	54.60%	28.90%	8.9	9	13	0.56%	2.70%
Congo (Rep.)	COG	4,500,000	341,500	48.9	18.8	47.2	0.606	0.571	32.7	2.5	-3.5	20.6	20.6	19.3	18.6	4022	3987	3689	3617	-4.81	-3.5	3.18	3.28	5.24	4.45	3	3.58	4.45		4.45	203	49.5	48.6	11.4	378		-	3	4.45	3	4.45	15.63		11.2	23.01		49.5	4	4	13	15	-0.53	-0.61	-1.2	-1.6	-1.3	-1.4	-1.1	-1.136	-1.33	-1.37	28.2	14.9	24.6	13.4	38.9	48.5	30	30	47.1	1.35	99.80%	99.90%	11.3	11	11	2.91%	0.70%
Costa Rica	CRI	4,900,000	51,060	48.5	44.7	62.1	0.794	0.809	58.9	3.7	7.58	103.4	105.9	101.6	109.3	21319	22632	22244	23387	2.62	7.58	6.68	6.87	6.89	7.07	6.77	6.8	6.71		7	1,286	909.7	921.6	14	27		6.9	6.77	6.71	6.77	6.8	0.12	0.07	9	17.95	0.9	99.9	38	38	53	53	0.51	0.87	0.3	0.3	0.5	0.5	0.45	0.452	0.47	0.5	57.8	78.4	51.8	63.1	65.6	65.4	50	50	19.3	1.63	99.10%	99.80%	35.1	46	46		0.00%
Cote d'Ivoire	CIV	24,000,000	318,003	41.5	14.4	39.6	0.794	0.55	30.5	8.6	7.02	126.2	134	136.7	146.3	5154	5433	5465	5940	6.89	7.02	3.31	3.49	3.97	3.8	3.24	3.72	3.44		3.44	190	72.2	75.1	48.3	617		4.6	3.24	3.44	3.24	3.44	6.18	3.34	9.3	3.47	2.4	69.7	19	19	32	30	-1.09	-0.95	-0.7	-0.5	-0.4	-0.3	-0.63	-0.634	-0.52	-0.37	44.2	30	36.6	33.8	62	61.6	50	50	22.6	0.42			10.6	11	14	1.25%	1.10%
Croatia	HRV	4,200,000	55,974	30.8	30.2	46.2	0.831	0.858	64.5	1.6	10.45	115.2	119.3	109.6	121.1	28877	30544	28780	33801	2.9	10.45				3.85	3.91					1,656	1014.2	1040.1	46.7	8		-	3.91		3.91	-	1.62		13.5	8.68	0.2	100	37	36	49	49	0.75	0.71	0.6	0.6	0.4	0.5	0.33	0.303	0.19	0.06	56.5	69.9	40.5	50	61	67.6	60	60	47.4	4.06	68.50%	59.20%	18.5	19	31	2.74%	1.70%
Cuba	CUB	11,000,000	109,820	-	-	-	0.777	0.764	-	4.3	-10.95	0	0	0	0					2.25	-10.95										-	986.9	1031.9		36		-				-	2.16	0.2	2.9	2.76		100	1	1	13	11	0.69	0.43	-0.2	-0.2	-1.3	-1.4	-0.43	-0.404	0.27	-0.01	10	15.6	38.1	39.9	31.9	29.5	10	10	62.4	2.29	4.20%	4.60%	48.9	53	53	...	2.90%
Cyprus	CYP	800,000	9,241	34.8	30.7	49.4	0.869	0.896	65.9	1.6	5.51	34.8	36.6	34.8	36.7	40559	42339	39593	42556	5.69	5.51	6.44	6.33	6.15	5.72						2,137	1981.8	1996.5	2.3	6		-				-	0.58		11.7	6.13	0.2	100	38	38	56	55	0.6	0.44	0.9	0.7	1	0.9	0.88	0.637	0.78	0.39	56.7	90.9	41.3	62.9	67.8	72.9	60	60	39.6	6	9.20%	13.30%	17.9	18	14	1.99%	1.60%
Czech Republic	CZE	11,000,000	77,247	-	27.3	46.8	0.888	0.889	71.1	4.2	3.34	424.5	437.3	412	425.8	41135	42847	41608	44261	3.2	3.34	3.97	5.75	5.55	3.81	4.27				4	2,470	1765.6	1844.2	3.1	3		-	4.27		4.27	4.27	0.41		4	2.89	0	100	37	36	56	55	1.02	0.96	1	1.1	1.2	1.3	1.12	1.126	0.57	0.64	57.9	81.8	51.1	59.6	74.2	74.4	80	80	41.4	9.02	12.10%	15.60%	20	22	25	1.43%	1.20%
Denmark	DNK	6,000,000	42,434	29	32.7	45.3	0.929	0.948	82	1.2	4.69	325.5	332.4	325.5	340.8	57483	58701	60230	64651	1.99	4.69	7.63			7.75	6.79				7	5,083	6216.8	6003.3	27.9	4		-	6.79		6.79	6.79	0.6		6.1	4.8	0.2	100	40	40	57	57	0.87	0.95	1.8	2	1.6	1.8	1.86	1.936	2.19	2.37	83.6	89.6	84.1	99.5	76.6	78	80	80	54.6	5.11	69.40%	85.20%	37.4	37	40	1.37%	1.30%
Djibouti	DJI	1,000,000	23,180	40.9	16.4	-	0.476	0.509	-	6.5	4.31	4.9	5.1	5.2	5.4	5181	5482	5533	5926	4.77	4.31		3.59	3.92	3.75	3.63				3.63	147	71.1	61.8	31.7	248		-	3.63		3.63	3.63	37.89	33.48	6.6	28.39		61.8	7	5	19	19	-0.71	-0.71	-1	-0.8	-0.6	-0.9	-0.91	-1.009	-0.64	-0.78	13.8	28.3	29	24.5	45.1	55.3	50	50	49.3	0.43		1.70%	10.8	26	26		3.70%
Dominican Republic	DOM	11,000,000	48,320	47.1	30.3	54.8	0.736	0.767	48.1	7	12.27	188.2	197.7	184.4	207.1	18135	19190	17934	20769	6.98	12.27	3.96	3.82	3.85	3.92	3.93	4.04	4.62		4.62	873	461.5	491.1	19.5	95		-	5.57	4.7	3.93	4.62	5.67	4.11	14.4	8.5	0.4	100	26	27	41	41	0.16	0.14	-0.4	0	-0.1	0.1	-0.42	-0.096	-0.74	-0.57	23.1	55.9	26.2	30.8	61.6	63	40	40	17.7	2.54	12.20%	10.90%	26.8	27	28	0.65%	0.70%
Ecuador	ECU	17,000,000	276,841	45.9	37	58.8	0.752	0.74	48.1	0	4.24	197.5	197.5	182.2	189.9	11838	11850	10890	11661	1.29	4.24	5.26	5	4.36	4.61	4.62	4.23	4.13		4.13	980	495.2	486.5	16.6	59		-	4.62	4.13	4.62	4.13	1.31	1.38	5.4	6.43	2.1	98.8	25	31	35	40	-0.1	-0.27	-0.3	-0.2	-1	-0.7	-0.7	-0.339	-0.6	-0.57	23.3	47.3	30.2	37.2	48.5	54.3	40	40	39.8	2.26	54.10%	81.20%	38	38	39	2.46%	2.30%
